date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:23	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
16:37:23	52636/52636	---M-Z	200	added ('OK')	text/html	etag:W/%2263d0ca18-cd9c%22	https://themewagon.github.io/feane/	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/index.html	(from )
16:37:23	12547/12547	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-3103%22	https://themewagon.github.io/feane/images/favicon.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/favicon.png	(from https://themewagon.github.io/feane/)
16:37:24	192348/192348	---M-Z	200	added ('OK')	text/css	etag:W/%2263d0ca18-2ef5c%22	https://themewagon.github.io/feane/css/bootstrap.css	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/css/bootstrap.css	(from https://themewagon.github.io/feane/)
16:37:24	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/Admin/Desktop/Feane/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://themewagon.github.io/feane/)
16:37:25	3117/3117	---M-Z	200	added ('OK')	text/css	etag:%225eb03ec2-c2d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/css/nice-select.min.css	C:/Users/Admin/Desktop/Feane/cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/css/nice-select.min.css	(from https://themewagon.github.io/feane/)
16:37:25	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%2263d0ca18-7918%22	https://themewagon.github.io/feane/css/font-awesome.min.css	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/css/font-awesome.min.css	(from https://themewagon.github.io/feane/)
16:37:26	19132/19132	---M-Z	200	added ('OK')	text/css	etag:W/%2263d0ca18-4abc%22	https://themewagon.github.io/feane/css/style.css	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/css/style.css	(from https://themewagon.github.io/feane/)
16:37:26	1582/1582	---M-Z	200	added ('OK')	text/css	etag:W/%2263d0ca18-62e%22	https://themewagon.github.io/feane/css/responsive.css	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/css/responsive.css	(from https://themewagon.github.io/feane/)
16:37:27	209897/209897	---M--	200	added ('OK')	image/jpeg	etag:%2263d0ca18-333e9%22	https://themewagon.github.io/feane/images/hero-bg.jpg	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/hero-bg.jpg	(from https://themewagon.github.io/feane/)
16:37:27	52636/52636	---M-Z	200	added ('OK')	text/html	etag:W/%2263d0ca18-cd9c%22	https://themewagon.github.io/feane/index.html	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/index-2.html	(from https://themewagon.github.io/feane/)
16:37:27	39134/39134	---M-Z	200	added ('OK')	text/html	etag:W/%2263d0ca18-98de%22	https://themewagon.github.io/feane/menu.html	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/menu.html	(from https://themewagon.github.io/feane/)
16:37:27	10102/10102	---M-Z	200	added ('OK')	text/html	etag:W/%2263d0ca18-2776%22	https://themewagon.github.io/feane/about.html	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/about.html	(from https://themewagon.github.io/feane/)
16:37:28	10818/10818	---M-Z	200	added ('OK')	text/html	etag:W/%2263d0ca18-2a42%22	https://themewagon.github.io/feane/book.html	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/book.html	(from https://themewagon.github.io/feane/)
16:37:28	52207/52207	---M--	200	added ('OK')	image/jpeg	etag:%2263d0ca18-cbef%22	https://themewagon.github.io/feane/images/o1.jpg	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/o1.jpg	(from https://themewagon.github.io/feane/)
16:37:28	61063/61063	---M--	200	added ('OK')	image/jpeg	etag:%2263d0ca18-ee87%22	https://themewagon.github.io/feane/images/o2.jpg	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/o2.jpg	(from https://themewagon.github.io/feane/)
16:37:29	254582/254582	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-3e276%22	https://themewagon.github.io/feane/images/f1.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f1.png	(from https://themewagon.github.io/feane/)
16:37:29	103712/103712	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-19520%22	https://themewagon.github.io/feane/images/f2.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f2.png	(from https://themewagon.github.io/feane/)
